"id","ownerUserID","projectID","taskListID","name","description","doneFlag","completeWithChildren","dueDate","timeEstimate","parentTaskID","taskTypeEnum","rank","activeFlag","createdAt","updatedAt"
2,1,1,1,"Letwinventory SHIP IT",NULL,True,False,NULL,NULL,NULL,"normal","0",True,"2026-01-06 23:24:32.169+00","2026-01-06 23:35:37.424+00"
3,1,NULL,2,"Passport",NULL,False,False,NULL,NULL,NULL,"normal","1000",True,"2026-01-06 23:36:21.358+00","2026-01-06 23:36:21.358+00"
4,1,NULL,2,"Global Entry",NULL,False,False,NULL,NULL,NULL,"normal","2000",True,"2026-01-06 23:36:26.33+00","2026-01-06 23:36:26.33+00"
6,1,NULL,4,"Layout Machine Shop",NULL,False,False,NULL,NULL,NULL,"normal","1000",True,"2026-01-06 23:36:43.825+00","2026-01-06 23:36:43.825+00"
7,1,NULL,4,"Requirements/Nice to have for Home",NULL,False,False,NULL,NULL,NULL,"normal","2000",True,"2026-01-06 23:36:57.325+00","2026-01-06 23:36:57.325+00"
33,1,1,4,"Add New Projects",NULL,False,False,NULL,NULL,32,"normal","6000",True,"2026-01-10 20:08:05.912+00","2026-01-10 20:08:05.912+00"
40,1,6,1,"Battery Holder",NULL,True,False,NULL,NULL,NULL,"normal","13000",True,"2026-01-13 04:22:50.662+00","2026-01-14 04:13:07.141+00"
34,1,1,4,"Add Tasks to google Calendar",NULL,False,False,NULL,NULL,32,"normal","7000",True,"2026-01-10 20:08:17.226+00","2026-01-10 20:08:17.227+00"
39,1,4,1,"Fix Hera",NULL,True,False,NULL,NULL,NULL,"normal","12000",True,"2026-01-12 19:25:06.495+00","2026-01-14 04:13:19.852+00"
5,1,NULL,2,"Cleanarr",NULL,True,False,NULL,NULL,NULL,"normal","3000",True,"2026-01-06 23:36:37.418+00","2026-01-11 03:24:19.798+00"
31,1,NULL,3,"VHB Tape",NULL,True,False,NULL,NULL,NULL,"normal","2000",True,"2026-01-10 06:38:58.714+00","2026-01-11 03:24:24.134+00"
9,1,1,2,"Letwinventory Minor Fixes",NULL,False,True,NULL,NULL,NULL,"normal","4000",True,"2026-01-06 23:41:53.908+00","2026-01-06 23:42:11.606+00"
10,1,1,2,"Task List Order + Dragging",NULL,False,False,NULL,NULL,9,"normal","5000",True,"2026-01-06 23:42:12.629+00","2026-01-06 23:42:12.629+00"
35,1,1,2,"logs out so quickly",NULL,False,False,NULL,NULL,9,"normal","11000",True,"2026-01-11 09:02:25.189+00","2026-01-11 09:02:25.189+00"
12,1,1,2,"New Task List/ Delete Task List",NULL,False,False,NULL,NULL,9,"normal","7000",True,"2026-01-06 23:43:00.328+00","2026-01-06 23:43:02.658+00"
13,1,1,4,"Manufacturing Planning",NULL,False,False,NULL,NULL,NULL,"normal","3000",True,"2026-01-06 23:43:38.317+00","2026-01-06 23:43:40.788+00"
14,1,1,2,"Add Manufacturer field and Manufacturer PN to parts",NULL,False,False,NULL,NULL,9,"normal","8000",True,"2026-01-06 23:44:04.761+00","2026-01-06 23:44:04.761+00"
27,1,1,1,"Lots",NULL,True,False,NULL,NULL,8,"normal","10000",True,"2026-01-08 17:20:35.672+00","2026-01-11 09:02:28.516+00"
26,1,1,1,"SN",NULL,True,False,NULL,NULL,8,"normal","9000",True,"2026-01-08 17:20:32.917+00","2026-01-11 09:02:29.658+00"
22,1,1,1,"Fix frontend endpoints calling backend url",NULL,True,False,NULL,NULL,16,"normal","6000",True,"2026-01-07 07:35:55.54+00","2026-01-07 18:04:06.627+00"
38,1,1,2,"hide chidren toggle, project tag toggles",NULL,False,False,NULL,NULL,9,"normal","12000",True,"2026-01-11 09:04:06.045+00","2026-01-11 09:04:06.045+00"
23,1,1,3,"Label Printer","9434650899562107136291",False,False,NULL,NULL,NULL,"tracking","1000",True,"2026-01-08 17:17:49.096+00","2026-01-08 17:18:10.519+00"
1,1,NULL,2,"SHIP IT",NULL,True,False,NULL,NULL,NULL,"normal","750",True,"2026-01-06 23:24:32.169+00","2026-01-12 22:03:55.55+00"
15,1,1,2,"Print Barcodes",NULL,True,False,NULL,NULL,8,"normal","625",True,"2026-01-06 23:44:35.438+00","2026-01-12 22:03:57.233+00"
25,1,1,1,"Barcode History","Create, Move, Split, Merge",True,False,NULL,NULL,8,"normal","8000",True,"2026-01-08 17:19:00.625+00","2026-01-10 06:38:45.093+00"
32,1,1,4,"Project Planning",NULL,False,False,NULL,NULL,NULL,"normal","5000",True,"2026-01-10 20:07:55.619+00","2026-01-10 20:07:59.166+00"
28,1,3,1,"Laundry",NULL,False,False,NULL,NULL,NULL,"normal","11000",True,"2026-01-08 18:05:38.085+00","2026-01-13 04:18:34.863+00"
29,1,3,2,"Clean Bedroom",NULL,False,False,NULL,NULL,NULL,"normal","9000",True,"2026-01-08 18:05:47.682+00","2026-01-13 04:18:44.531+00"
30,1,3,2,"Vacuum Bedroom",NULL,False,False,NULL,NULL,NULL,"normal","10000",True,"2026-01-08 18:05:56.477+00","2026-01-13 04:18:47.242+00"
36,1,5,4,"Pinball Project",NULL,False,False,NULL,NULL,NULL,"normal","8000",True,"2026-01-11 09:03:17.684+00","2026-01-13 04:21:35.552+00"
37,1,5,4,"Pinball Inventory",NULL,False,False,NULL,NULL,NULL,"normal","9000",True,"2026-01-11 09:03:23.008+00","2026-01-13 04:21:38.464+00"
19,1,4,4,"Reverse Proxy on VPN",NULL,False,False,NULL,NULL,NULL,"normal","4000",True,"2026-01-06 23:46:02.405+00","2026-01-13 04:23:41.122+00"
16,1,1,2,"Move Letwinventory Production to proxmox",NULL,True,False,NULL,NULL,NULL,"normal","125",True,"2026-01-06 23:45:04.904+00","2026-01-13 04:33:40.069+00"
17,1,1,2,"Run on proxmox",NULL,True,False,NULL,NULL,16,"normal","62.5",True,"2026-01-06 23:45:34.301+00","2026-01-13 04:33:42.585+00"
18,1,1,2,"Reverse Proxy",NULL,True,False,NULL,NULL,16,"normal","31.25",True,"2026-01-06 23:45:51.875+00","2026-01-13 04:33:51.219+00"
21,1,1,3,"backup postgres",NULL,True,False,NULL,NULL,16,"normal","750",True,"2026-01-06 23:46:36.265+00","2026-01-13 22:13:10.27+00"
41,1,1,2,"Test on dev branch",NULL,True,False,NULL,NULL,8,"normal","13000",True,"2026-01-13 22:13:19.631+00","2026-01-14 22:22:41.369+00"
42,1,1,2,"merge with master",NULL,True,False,NULL,NULL,8,"normal","14000",True,"2026-01-13 22:13:22.579+00","2026-01-14 22:22:41.964+00"
43,1,1,2,"update prod",NULL,True,False,NULL,NULL,8,"normal","15000",True,"2026-01-13 22:13:30.628+00","2026-01-14 22:22:42.73+00"
24,1,1,1,"PO Recieving",NULL,True,False,NULL,NULL,8,"normal","0",True,"2026-01-08 17:18:47.337+00","2026-01-15 04:29:13.285+00"
8,1,1,1,"Inventory",NULL,True,False,NULL,NULL,NULL,"normal","0",True,"2026-01-06 23:38:02.42+00","2026-01-15 17:21:25.191+00"
11,1,1,2,"Task card checkbox shift",NULL,True,False,NULL,NULL,9,"normal","6000",True,"2026-01-06 23:42:28.841+00","2026-01-15 17:24:55.992+00"
20,1,1,2,"Backup server",NULL,True,False,NULL,NULL,16,"normal","46.875",True,"2026-01-06 23:46:32.549+00","2026-01-15 17:46:09.221+00"
